step,train_loss,val_loss
0,3.8969672322273254,3.884086787700653
10,3.3009379506111145,3.28669673204422
20,2.985036790370941,2.9985195994377136
30,2.8059703707695007,2.7925930619239807
40,2.6842158436775208,2.718149423599243
50,2.574979245662689,2.62257981300354
60,2.528033971786499,2.5844185948371887
70,2.440004825592041,2.5374656319618225
79,2.4737939834594727,2.488741457462311
